X,Y,Z
-3.8369317,-0.9197217,-0.06561537
-3.8284135,5.9889655,8.653145
1.514231,1.7338222,8.046156
0.60900897,0.7583434,2.664073
-3.9564276,2.1750898,2.9479678
-4.6507287,1.1910546,1.4192542
-0.12246211,4.993871,10.118518
-1.5109516,-3.0721228,8.83368
-2.013493,6.511999,10.702712
4.6074123,-3.5391831,0.8683729
6.441227,-3.884196,0.4739257
-1.190316,5.61343,9.2982025
0.97670597,-4.3943133,0.78668237
5.2433515,-4.421877,0.7451479
1.0461087,2.6274526,8.18987
3.69589,-3.5453944,0.43114242
0.040073223,2.282762,9.619512
4.246291,-2.1280558,1.3490236
2.6710587,0.638065,3.75492
-0.5555659,4.993205,8.163201
-0.9773475,-4.608342,1.1724725
-4.4300866,-0.43126592,1.7315218
-3.1173387,0.120750725,0.3515089
-4.716301,2.9247115,4.024072
-4.047775,0.6353085,3.0288992
-3.559182,0.97705615,1.4105111
-4.901836,0.084895894,1.7918102
-0.21170421,2.5207424,9.118798
0.4896355,1.0617534,8.020742
-2.8879201,-0.9254838,-0.7950755
-3.831078,4.802075,8.959229
3.6319466,-3.6061416,-0.16365808
-3.0777113,-1.2188648,1.5020607
3.6889496,-0.5264214,1.3660681
3.1380424,0.24887425,3.5789454
3.2178202,-3.688569,0.41820237
-2.397458,2.9281907,4.4721227
-1.9255849,-4.096897,-0.8634305
2.545707,0.7044348,2.5600643
-4.2971888,0.03164436,1.2413908
-3.1533122,-0.8943718,0.42064452
4.2464023,-1.3808137,-0.21084996
-2.881853,2.3949544,5.100993
5.4672003,-2.3999965,0.2129603
-3.8012376,1.0024235,0.93649036
-1.5733103,5.498169,10.056453
-2.866344,3.2336824,5.3535314
-2.1333804,5.946348,9.574996
-0.18531585,6.1255064,8.734032
-2.4206386,-3.7349434,-0.97418725
-3.987709,1.3330283,1.4317781
-3.2889106,4.7141094,5.3995852
5.4880433,-4.2819624,-0.46699807
0.40890607,1.6635714,8.081415
-0.58459896,4.3071275,7.6114902
-3.851035,2.7940695,4.8056736
6.2675347,-2.956113,1.2755284
2.753301,-0.46510327,4.849098
3.7450078,-0.7031145,2.819905
1.0675659,0.69885147,9.457844
-2.0887194,5.1425147,9.878139
